batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
South Africa,New Zealand,Auckland,158,5,3,8.243478260869566,28.0,165
Pakistan,India,Colombo,93,40,5,6.975,43.0,128
Sri Lanka,Australia,Cape Town,100,6,1,5.2631578947368425,27.0,101
Bangladesh,India,Colombo,39,85,7,6.685714285714286,34.0,166
New Zealand,England,Christchurch,107,28,6,6.978260869565218,34.0,153
Pakistan,Australia,Abu Dhabi,133,14,4,7.528301886792453,32.0,155
Australia,Sri Lanka,Pallekele,166,36,8,11.857142857142858,68.0,263
India,England,Mumbai,10,106,9,4.285714285714286,10.0,177
South Africa,India,Chandigarh,31,98,10,8.454545454545455,31.0,149
New Zealand,Australia,Christchurch,10,115,10,12.0,10.0,214
South Africa,Australia,Cape Town,153,10,7,8.345454545454546,42.0,178
Sri Lanka,Bangladesh,Johannesburg,5,117,9,10.0,5.0,147
West Indies,South Africa,Johannesburg,30,99,10,8.571428571428571,30.0,205
New Zealand,England,Pallekele,80,35,6,5.647058823529412,25.0,148
India,England,Nagpur,105,36,7,7.5,48.0,144
Bangladesh,Sri Lanka,Colombo,97,38,5,7.097560975609756,26.0,155
Australia,England,Sydney,128,55,7,11.815384615384616,56.0,221
New Zealand,Australia,Christchurch,165,19,4,9.801980198019802,70.0,214
India,Australia,Adelaide,75,65,8,8.181818181818182,34.0,188
England,South Africa,Nottingham,24,92,8,5.142857142857143,24.0,111
Sri Lanka,Australia,Pallekele,70,65,8,7.636363636363637,31.0,198
Pakistan,New Zealand,Dubai,124,22,5,7.591836734693878,34.0,153
Pakistan,New Zealand,Pallekele,7,112,10,5.25,7.0,177
Sri Lanka,Bangladesh,Colombo,144,9,4,7.783783783783784,55.0,159
Sri Lanka,India,Colombo,165,10,6,9.0,52.0,171
India,Pakistan,Durban,19,98,8,5.181818181818182,19.0,141
South Africa,New Zealand,Barbados,40,91,9,8.275862068965518,40.0,170
Australia,Pakistan,St Lucia,40,93,10,8.88888888888889,40.0,191
Sri Lanka,Pakistan,Mirpur,92,44,10,7.2631578947368425,36.0,150
Bangladesh,West Indies,St Kitts,125,22,3,7.653061224489796,21.0,143
New Zealand,South Africa,Johannesburg,45,80,7,6.75,38.0,129
New Zealand,England,London,113,53,9,10.119402985074627,55.0,201
Australia,South Africa,Johannesburg,178,5,4,9.28695652173913,38.0,196
Australia,England,Southampton,215,21,8,13.030303030303031,83.0,248
New Zealand,Pakistan,Cape Town,87,38,6,6.365853658536586,27.0,143
Pakistan,New Zealand,Wellington,1,115,10,1.2,1.0,105
South Africa,West Indies,London,108,46,8,8.756756756756756,38.0,183
Pakistan,Sri Lanka,Colombo,34,93,9,7.555555555555555,34.0,175
Bangladesh,Pakistan,Cape Town,15,106,10,6.428571428571429,15.0,140
West Indies,New Zealand,Lauderhill,117,28,7,7.630434782608695,33.0,177
South Africa,Bangladesh,Mirpur,1,118,10,3.0,1.0,169
England,Australia,Cardiff,58,64,8,6.214285714285714,40.0,182
England,South Africa,Cape Town,75,58,6,7.258064516129032,29.0,134
West Indies,New Zealand,Wellington,6,108,10,3.0,6.0,159
Bangladesh,South Africa,Cape Town,133,11,2,7.321100917431193,28.0,144
England,Afghanistan,Colombo,56,76,9,7.636363636363637,51.0,196
England,South Africa,Durban,19,98,9,5.181818181818182,19.0,204
Pakistan,South Africa,Centurion,29,99,9,8.285714285714286,29.0,195
Pakistan,India,Mirpur,90,34,7,6.27906976744186,41.0,130
England,India,Manchester,76,62,9,7.862068965517241,27.0,159
Sri Lanka,Pakistan,Lahore,143,20,7,8.58,44.0,165
New Zealand,Australia,Auckland,127,18,2,7.470588235294118,27.0,150
Pakistan,Bangladesh,Mirpur,87,25,6,5.494736842105263,51.0,129
Australia,Sri Lanka,Sydney,27,92,9,5.785714285714286,27.0,137
South Africa,West Indies,Johannesburg,129,53,7,11.552238805970148,59.0,231
India,West Indies,Lauderhill,47,86,10,8.294117647058824,40.0,167
New Zealand,England,Wellington,130,4,3,6.724137931034483,35.0,139
Bangladesh,West Indies,Lauderhill,8,108,9,4.0,8.0,171
Pakistan,New Zealand,Abu Dhabi,10,100,8,3.0,10.0,148
England,West Indies,Barbados,43,71,7,5.26530612244898,26.0,152
Pakistan,Bangladesh,Mirpur,30,61,6,3.0508474576271185,12.0,129
England,Pakistan,London,132,36,7,9.428571428571429,44.0,185
Pakistan,New Zealand,Auckland,30,99,10,8.571428571428571,30.0,201
Pakistan,New Zealand,Dubai,6,107,10,2.769230769230769,6.0,166
Pakistan,Australia,Dubai,73,61,10,7.423728813559322,28.0,150
India,West Indies,Trinidad,64,57,6,6.095238095238095,22.0,159
Bangladesh,New Zealand,Hamilton,78,16,1,4.5,21.0,78
Sri Lanka,New Zealand,Chittagong,24,106,9,10.285714285714286,24.0,119
Pakistan,South Africa,St Lucia,116,26,6,7.404255319148936,53.0,148
India,West Indies,Mumbai,187,18,8,11.0,50.0,240
Sri Lanka,West Indies,Nottingham,146,33,9,10.068965517241379,49.0,192
West Indies,Pakistan,Mirpur,164,1,4,8.268907563025211,76.0,166
New Zealand,Sri Lanka,Johannesburg,161,3,4,8.256410256410257,45.0,164
